,Country_Name,Country_Code,Indicator_Name,Indicator_Code,Year,InternetUsers,Percentage
0,Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
1,Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
2,Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
3,Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
4,Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
5,Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
6,Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
7,Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
8,United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
9,Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
10,Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
11,American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
12,Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
13,Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.585094712
14,Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.130369377
15,Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
16,Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
17,Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.00100674
18,Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
19,Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
20,Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
21,Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
22,Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
23,"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
24,Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
25,Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
26,Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
27,Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
28,Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
29,Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
30,Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
31,Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
32,Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
33,Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
34,Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
35,Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.360999701
36,Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
37,Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.595714223
38,Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,
39,Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
40,China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
41,Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
42,Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
43,"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
44,"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
45,Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
46,Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
47,Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
48,Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
49,Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
50,Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
51,Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,
52,Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
53,Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
54,Czechia,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
55,Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.125892223
56,Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
57,Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
58,Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.097277268
59,Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
60,Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
61,East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
62,Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.000242858
63,East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.007210875
64,Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
65,Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.048057837
66,Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
67,"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
68,Euro area,EMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.072533659
69,Eritrea,ERI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
70,Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.012873564
71,Estonia,EST,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
72,Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
73,European Union,EUU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.066722373
74,Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
75,Finland,FIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.40108767
76,Fiji,FJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
77,France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.052777862
78,Faroe Islands,FRO,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
79,"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
80,Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
81,United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.087355319
82,Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
83,Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
84,Gibraltar,GIB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
85,Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
86,"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
87,Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
88,Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
89,Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
90,Grenada,GRD,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
91,Greenland,GRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,Internet Users,0.0
